component,n_samples,tau_int_steps,tau_int_time,ess,geyer_ips_cutoff_lag,ljung_box_q_10,ljung_box_p_10,ljung_box_q_25,ljung_box_p_25,ljung_box_q_50,ljung_box_p_50,ljung_box_q_100,ljung_box_p_100
12,14501,12.165044265553924,0.12165044265553925,1192.0219674876548,15,52205.94082992028,0.0,52854.676462592906,0.0,53234.008551975596,0.0,53781.97175415821,0.0
13,14501,11.39723609952235,0.11397236099522351,1272.326016007313,15,49202.37753475773,0.0,49693.30317012113,0.0,50096.907874652614,0.0,50393.89356834086,0.0
14,14501,12.906075098046163,0.12906075098046163,1123.5793910881002,23,53655.645730688106,0.0,54203.46806979481,0.0,55093.937984253156,0.0,55816.81338472572,0.0
15,14501,13.568246328747083,0.13568246328747083,1068.7453373599717,23,54930.64501177756,0.0,55956.14352138396,0.0,56211.75600889593,0.0,56490.2229015899,0.0
16,14501,14.439396090146166,0.14439396090146167,1004.2663771718177,37,54480.98206444055,0.0,55471.074614542355,0.0,55760.941191957034,0.0,56462.17522221411,0.0
17,14501,12.218545619506498,0.12218545619506499,1186.8024600939116,23,50808.892329537855,0.0,51146.14807459201,0.0,51266.02354159766,0.0,52134.341822182665,0.0
18,14501,11.601007997568415,0.11601007997568415,1249.9775884164055,13,50512.02171590535,0.0,50849.064043759645,0.0,51057.86437448125,0.0,52072.97265158167,0.0
19,14501,13.116347353459407,0.13116347353459407,1105.5669394250522,33,52594.945261374145,0.0,53074.9683577993,0.0,53171.4551066546,0.0,53320.39493294942,0.0
20,14501,12.828799887736976,0.12828799887736975,1130.347353368687,25,50687.35797530413,0.0,51410.754989973655,0.0,51543.224518772506,0.0,51726.015527516225,0.0
21,14501,12.88373207414159,0.1288373207414159,1125.5279073293027,27,53784.38660797892,0.0,54266.08792181127,0.0,54371.418211132084,0.0,55032.63552145676,0.0
22,14501,12.718986996434872,0.12718986996434872,1140.1065198088988,19,55010.51216063699,0.0,55432.6510939698,0.0,55763.2544947956,0.0,56132.48139721989,0.0
23,14501,12.433108534640583,0.12433108534640583,1166.3213555642942,23,51941.065299490176,0.0,52353.202389560545,0.0,53630.89204655464,0.0,54060.529192006354,0.0
24,14501,12.210508277662846,0.12210508277662847,1187.583650921988,31,51861.23848240624,0.0,52118.504027819894,0.0,52148.338824295126,0.0,52944.87475194498,0.0
25,14501,12.04630566479357,0.1204630566479357,1203.7715465232216,17,52227.037782499916,0.0,52728.873941718215,0.0,53462.58358380856,0.0,54839.621737294285,0.0
26,14501,11.452792851498582,0.11452792851498583,1266.1540453953608,19,50188.19562537018,0.0,50307.26634943607,0.0,50951.58031529092,0.0,51211.22560676833,0.0
27,14501,12.271578305149347,0.12271578305149347,1181.6735907487264,25,50077.160599485826,0.0,50457.17960448019,0.0,50732.34675136971,0.0,51064.68133254844,0.0
