component,n_samples,tau_int_steps,tau_int_time,ess,geyer_ips_cutoff_lag,ljung_box_q_10,ljung_box_p_10,ljung_box_q_25,ljung_box_p_25,ljung_box_q_50,ljung_box_p_50,ljung_box_q_100,ljung_box_p_100
0,14501,46.769954978576855,0.46769954978576855,310.04947528049223,49,130411.57819680299,0.0,222101.09211369566,0.0,236248.89133161362,0.0,245626.9624734797,0.0
1,14501,51.2978839303931,0.512978839303931,282.6822256387151,51,132440.9861934911,0.0,236092.03491245586,0.0,259222.31221052987,0.0,276508.0712179862,0.0
2,14501,49.13635829636083,0.4913635829636083,295.11751588383345,49,132219.99994818206,0.0,233174.14697109003,0.0,251601.34126875334,0.0,261506.43870046828,0.0
3,14501,46.4478318887478,0.464478318887478,312.1997176258497,45,131239.00052997287,0.0,225561.85298209265,0.0,238955.27250040302,0.0,248484.90430019159,0.0
4,14501,43.42898185498998,0.4342898185498998,333.90144969133877,39,130605.15692678536,0.0,219291.92417700394,0.0,229283.39639613059,0.0,262488.3475554473,0.0
5,14501,51.4790245626783,0.514790245626783,281.68754406650237,55,132226.97808715695,0.0,235451.8559522678,0.0,258567.82507219986,0.0,263974.9537307769,0.0
6,14501,48.187895274386506,0.48187895274386505,300.9261956229861,45,132447.48974924223,0.0,233882.70376377602,0.0,250643.6335424485,0.0,279625.7245656211,0.0
7,14501,44.6204202691538,0.446204202691538,324.98573327030215,41,131155.40849185686,0.0,223343.32344032975,0.0,234285.4223403307,0.0,252297.62882602747,0.0
8,14501,48.83127325344907,0.4883127325344907,296.96133305259985,45,132650.13605222726,0.0,235388.5496262683,0.0,253373.06916094877,0.0,286813.7568732343,0.0
9,14501,48.5832694582123,0.485832694582123,298.4772363348802,49,132085.99817528666,0.0,231830.80513400526,0.0,249028.48162611152,0.0,255819.0123470484,0.0
10,14501,45.02729207772897,0.45027292077728975,322.0491246723754,41,131202.22755836218,0.0,224291.06396926648,0.0,235905.96462741497,0.0,260455.7580125666,0.0
11,14501,48.64469901772571,0.4864469901772571,298.1003129388458,45,132315.16110725442,0.0,233639.57103236875,0.0,251336.21173698088,0.0,278436.4480086871,0.0
12,14501,46.10374511247078,0.46103745112470784,314.52976248729016,43,131537.37639256372,0.0,226668.26892212214,0.0,239535.20710093825,0.0,261795.6480247873,0.0
13,14501,45.646708456038844,0.4564670845603884,317.6789847610926,43,131250.38318577592,0.0,225123.88914484342,0.0,237704.79746158287,0.0,276257.41538666293,0.0
14,14501,47.76167364718425,0.47761673647184255,303.6116386355924,49,131171.4992082526,0.0,226499.67593419776,0.0,242446.25171854187,0.0,257694.2051131879,0.0
15,14501,45.848382143959945,0.4584838214395995,316.2816073742388,45,130704.8459339134,0.0,222920.76094839047,0.0,235697.28466139335,0.0,258853.89284009495,0.0
16,14501,45.4474143914641,0.454474143914641,319.07205710526773,41,131210.2480630044,0.0,224730.25497231708,0.0,236936.5551170779,0.0,273479.04152615217,0.0
17,14501,46.10163498650537,0.4610163498650537,314.54415888383693,43,131560.0899356569,0.0,227048.38002332734,0.0,240143.0598525798,0.0,272327.72615976975,0.0
18,14501,49.86888433158145,0.4986888433158145,290.78252289708166,51,131559.50797520665,0.0,230400.8670542111,0.0,250353.76109022266,0.0,266966.18077728024,0.0
19,14501,47.11440171949894,0.47114401719498944,307.7827473292219,45,131140.71826234527,0.0,226066.4260275182,0.0,240978.62619437405,0.0,259103.909929329,0.0
20,14501,47.256513684116314,0.47256513684116314,306.8571688747751,47,131461.9642196517,0.0,227500.98303868988,0.0,242364.73742222576,0.0,262807.822163938,0.0
21,14501,44.789134213256354,0.44789134213256354,323.7615608052567,43,130454.43054244257,0.0,220290.50991905166,0.0,231460.72479204956,0.0,264138.3729319381,0.0
22,14501,48.6599129877724,0.486599129877724,298.00710912993026,49,131830.5180799129,0.0,230756.39165696775,0.0,248236.2483112239,0.0,260171.68999440683,0.0
23,14501,43.15670813735825,0.4315670813735825,336.0080188193809,41,129776.63540487735,0.0,215090.0293161963,0.0,223808.4507841913,0.0,237522.9820831619,0.0
24,14501,48.2404422535928,0.482404422535928,300.59840504302196,49,131393.30242741128,0.0,228027.65799316514,0.0,244811.06414330908,0.0,252452.25384457601,0.0
25,14501,50.44694979305458,0.5044694979305457,287.4504813370593,51,132244.23163454345,0.0,234746.69030891082,0.0,255868.38941269007,0.0,262446.875949173,0.0
26,14501,49.30803348089992,0.4930803348089992,294.09000879374236,47,132475.60867403052,0.0,234689.59682997465,0.0,253467.73092077175,0.0,269623.69696149643,0.0
27,14501,50.275905058853255,0.5027590505885325,288.4284227807545,47,133097.65407069077,0.0,239430.03187080077,0.0,260339.32343931703,0.0,284811.09542825306,0.0
28,14501,49.569788918532126,0.49569788918532126,292.5370536443553,53,132202.45062546802,0.0,232497.95885899995,0.0,251096.59821298457,0.0,254369.66426741492,0.0
29,14501,46.01568945188675,0.4601568945188675,315.13164689539224,41,131704.89554249588,0.0,227804.12674110234,0.0,240953.1948230285,0.0,277339.28167327866,0.0
30,14501,47.57950714953277,0.47579507149532774,304.77406910555607,47,131374.9778298942,0.0,227274.2709889155,0.0,242784.11135226805,0.0,252644.08570387788,0.0
31,14501,45.21427344605749,0.4521427344605749,320.7173066111589,43,130778.1898157575,0.0,222421.85271523957,0.0,234139.46672104197,0.0,253193.41913887573,0.0
32,14501,49.35287313378612,0.4935287313378612,293.82281272035743,47,132727.96097307635,0.0,236422.89776066467,0.0,255512.5423386747,0.0,273076.6368321442,0.0
33,14501,48.28633551057272,0.4828633551057272,300.31270434313404,45,132207.1458812914,0.0,233009.08013704346,0.0,249924.00054149708,0.0,288399.61517990375,0.0
34,14501,42.996483080006016,0.42996483080006015,337.2601422543597,41,129879.49199381807,0.0,215333.8395229271,0.0,223783.8802059526,0.0,239924.8680425584,0.0
35,14501,46.78344360817446,0.4678344360817446,309.9600816359368,45,130835.90203886364,0.0,224369.42916215473,0.0,238759.04684142375,0.0,253516.52617732133,0.0
36,14501,47.24231601546712,0.4724231601546712,306.9493882402458,45,131726.01161518588,0.0,229472.47771065225,0.0,244636.46178648935,0.0,270346.6487497818,0.0
37,14501,43.923655390323795,0.43923655390323796,330.141011059715,43,129810.81223543471,0.0,215685.20022670078,0.0,225089.33375712502,0.0,233405.43102236945,0.0
38,14501,45.84978124154559,0.45849781241545595,316.2719560995483,43,131101.7854255347,0.0,224575.45753135916,0.0,237275.03496829042,0.0,269279.50317592366,0.0
39,14501,49.77179652773701,0.4977179652773701,291.3497404482643,51,132007.65206123315,0.0,232297.415353462,0.0,251861.52449617314,0.0,255975.6605945317,0.0
